Date,_cached_page_id,_template,_type,url,Text
['2018-02-15 00:00:00'],0b19977c08dcecff1fff8cd68e4476bd29c7ba9d,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kendall-jenner-anxiety-attack-calls-mom-kris,
['2017-10-29 00:00:00'],1d4a2b9c8acc15f5d7c177a65706899f09286014,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/mac-cosmetics-holiday-rose-gold-brush-set,
['2017-03-03 00:00:00'],257c35b8a96cafa6079d4848fbb7adf0dd9414c4,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/prosecco-pop-becomes-a-permanent-addition-to-the-becca-cosmetics-family,
['2016-11-15 00:00:00'],28ed8de83de976977bfdd075b6af00843b598a61,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/hand-model-habits,
['2017-06-27 00:00:00'],a75a678f4d07a3a1d5346736893559d01dbec5e0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/4th-of-july-hair-accessories,
['2017-10-26 00:00:00'],7c7cc7747c02c4f75e08e268e0f8984b262648e0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/chrissy-teigen-not-sorry-snapchat-nip-slip,
['2018-01-21 00:00:00'],fb3a0d41646a90523dad1f2a42b4644c0d0ff3d2,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/womens-march-celebrities-who-attended-photos,
['2017-11-02 00:00:00'],cba675fd9c383ace8c697e7d8ea76d781dfa1f4a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/apple-brassiere-cleavage-iphone-photos-category,
['2017-08-01 00:00:00'],adc231f7b873c91358b5929a22e90477198294dd,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/best-foundations-under-20,
['2017-09-03 00:00:00'],01c4eeeb6e168986ca3b7dd1e473d34361c80826,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/nars-man-ray-holiday-collection,
['2016-12-25 00:00:00'],11b0aab075ddcd48702a539d68829796f0277ec4,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/7-things-becca-cosmetics?mbid_relatedlink,
['2017-09-27 00:00:00'],d3dad48ba566b4a183adde78c8b3211611969c8b,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/how-to-avoid-a-bad-dye-job,
['2017-08-22 00:00:00'],0f21c28f31f55c4a0a44b8df67ef7b4e1b4aa270,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/pregnancy-announcement-reaction-viral-video,
['2016-11-20 00:00:00'],d25430b778c5d4c0d0d6be93179b6f7d8164f4a1,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/john-legend-glittery-jacket-american-music-awards-2016,
['2018-01-31 00:00:00'],586f0e60316f8312d0828435756e5196f39c3170,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kristin-ess-rose-gold-temporary-tint-pink-hair-review-photos,
['2017-06-19 00:00:00'],fd0ac187eff7c42254e2d5390b2c204a945588c0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/mens-catcalling-street-harassment-reasons-study?intcid=inline_amp,
['2017-06-03 00:00:00'],b1fde88ddd302c81786f193923c835731429c769,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/too-faced-jerrod-blandino-britney-spears,
['2017-08-29 00:00:00'],32cbb1a4dd3d4403d12d3877a2660f1f7cbabb5f,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/britney-spears-makeup-free-selfie,
['2017-08-10 00:00:00'],67eb8d67e14f50c6eef85967d85a102ed578ad47,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/naturallytash-temporary-hair-color-natural-hair,
['2018-02-27 00:00:00'],5d5e73c644196f74c6ce961595aaf33cce63e51a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/how-to-layer-your-skin-care-products,
['2016-06-28 00:00:00'],14d348159ddb5a665129a78dd783778d4ee0311c,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/naomi-campbell-nelson-mandela-introduction,
['2017-04-15 00:00:00'],483fa9b05322ece337fc7af137058c22e0cdec05,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/oribe-fun-facts,
['2017-09-26 00:00:00'],d2c22a9c30c53e1e1c8c749811fc8eb6e14eb7d0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/iskra-lawrence-posing-instagram-photos,
['2017-12-13 00:00:00'],746f2061c6c8f7b51fbc4be58a7a6c09c34afdb4,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/viral-all-natural-acne-skin-care-routine,
['2017-02-13 00:00:00'],d94655d0fb506e0cf25376c04435a5f094e9b0e0,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/katy-perry-shoes-collection-hillary-clinton,
['2016-11-23 00:00:00'],8b2a8dc757b452ba6ea76bbda1044ac3910845a6,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/suratt-beauty-new-shadow-and-blush-shades,
['2017-01-02 00:00:00'],86e93c176fdd21abf6620bba6439daa9287b6581,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/huesbox-for-women-of-color,
['2016-06-01 00:00:00'],935a145aca30264b76d0f229ad03b84a1e71c4eb,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/gallery/kerry-washington-style,
['2017-10-17 00:00:00'],567c66406bc896037e93d82dc28f94fd8e5b445d,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kerry-washington-different-concealer-for-each-day-scandal,
['2016-06-30 00:00:00'],04d81e8ce082811740ccbfbca40a9123e544ee62,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/guide-to-becoming-a-better-person,
['2016-07-27 00:00:00'],303f94dd5ff8c5043a24367b6781684b9ea0e4c9,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/best-lightweight-summer-body-lotions,
['2017-09-11 00:00:00'],4e5e5b28c87e831b570dc6273802e5b377717a5a,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/nyfw-ss18-anna-sui-easiest-glitter-eye-makeup,
['2017-08-28 00:00:00'],f6e5e646442bc948e3b87eb333866fef92ee24ef,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/dancer-glitter-jacob-plant-about-you,
['2016-11-04 00:00:00'],6dd866fc1d59cec93ee612075c484f4c8d2e3997,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/kat-von-d-bow-n-arrow-set-makeup-101?mbid_relatedlink,
['2017-09-21 00:00:00'],824a9b76fb55711f6c31a37ebda861316f709a91,a1f1-4db4-aeed,Period Skin Care Companies maternity skin care,https://www.allure.com/story/woman-with-large-birthmark-covering-her-face-refuses-to-cover-it,
