"","Date","word"
"735",2014-11-06,"oil"
"736",2014-11-06,"oil"
"737",2014-11-06,"oil"
"738",2014-11-06,"oil"
"739",2014-11-06,"oil"
"740",2014-11-06,"oil"
"741",2014-11-06,"oil"
"742",2014-11-06,"oil"
"743",2014-11-06,"oil"
"744",2014-11-06,"oil"
"745",2014-11-06,"oil"
"746",2014-11-06,"oil"
"747",2014-11-06,"oil"
"748",2014-11-06,"oil"
"749",2014-11-06,"oil"
"750",2014-11-06,"oil"
"751",2014-11-06,"oil"
"752",2014-11-06,"oil"
"753",2014-11-06,"oil"
"754",2014-11-06,"oil"
"755",2014-11-06,"oil"
"756",2014-11-06,"oil"
"757",2014-11-06,"oil"
"758",2014-11-06,"oil"
"759",2014-11-06,"oil"
"760",2014-11-06,"oil"
"761",2014-11-06,"baby"
"762",2014-11-06,"oil"
"763",2014-11-06,"oil"
"764",2014-11-06,"oil"
"765",2014-11-06,"oil"
"766",2014-11-06,"oil"
"767",2014-11-06,"oil"
"768",2014-11-06,"oil"
"769",2014-11-06,"oil"
"770",2014-11-06,"oil"
"771",2014-11-06,"oil"
"772",2014-11-06,"oil"
"773",2014-11-06,"oil"
"774",2014-11-06,"oil"
"775",2014-11-06,"oil"
"776",2014-11-06,"oil"
"777",2014-11-06,"oil"
"778",2014-11-06,"oil"
"779",2014-11-06,"oil"
"780",2014-11-06,"oil"
"781",2014-11-06,"oil"
"782",2014-11-06,"oil"
"783",2014-11-06,"oil"
"784",2014-11-06,"oil"
"785",2014-11-06,"oil"
"786",2014-11-06,"oil"
"787",2014-11-06,"oil"
"788",2014-11-06,"oil"
"789",2014-11-06,"oil"
"790",2014-11-06,"oil"
"791",2014-11-06,"oil"
"792",2014-11-06,"oil"
"793",2014-11-06,"oil"
"794",2014-11-06,"oil"
"795",2014-11-06,"oil"
"796",2014-11-06,"oil"
"797",2014-11-06,"oil"
"798",2014-11-06,"oil"
"799",2014-11-06,"oil"
"800",2014-11-06,"oil"
"801",2014-11-06,"oil"
"802",2014-11-06,"oil"
"803",2014-11-06,"oil"
"804",2014-11-06,"oil"
"805",2014-11-06,"oil"
"806",2014-11-06,"oil"
"807",2014-11-06,"oil"
"808",2014-11-06,"oil"
"809",2014-11-06,"oil"
"810",2014-11-06,"oil"
"811",2014-11-06,"oil"
"812",2014-11-06,"oil"
"813",2014-11-06,"paper"
"814",2014-11-06,"american"
"815",2014-11-06,"american"
"816",2014-11-06,"american"
"817",2014-11-06,"american"
"818",2014-11-06,"american"
"819",2014-11-06,"oil"
"820",2014-11-06,"oil"
"821",2014-11-06,"oil"
"822",2014-11-06,"oil"
"823",2014-11-06,"oil"
"824",2014-11-06,"oil"
"825",2014-11-06,"oil"
"826",2014-11-06,"oil"
"827",2014-11-06,"oil"
"828",2014-11-06,"oil"
"829",2014-11-06,"oil"
"830",2014-11-06,"oil"
"831",2014-11-06,"oil"
"832",2014-11-06,"oil"
"833",2014-11-06,"oil"
"834",2014-11-06,"oil"
"835",2014-11-06,"oil"
"836",2014-11-06,"oil"
"837",2014-11-06,"oil"
"838",2014-11-06,"oil"
"839",2014-11-06,"oil"
"840",2014-11-06,"oil"
"841",2014-11-06,"oil"
"842",2014-11-06,"oil"
"843",2014-11-06,"oil"
"844",2014-11-06,"oil"
"845",2014-11-06,"oil"
"846",2014-11-06,"oil"
"847",2014-11-06,"oil"
"848",2014-11-06,"oil"
"849",2014-11-06,"oil"
"850",2014-11-06,"oil"
"851",2014-11-06,"oil"
"852",2014-11-06,"oil"
"853",2014-11-06,"american"
"854",2014-11-06,"american"
"855",2014-11-06,"american"
"856",2014-11-06,"american"
"857",2014-11-06,"american"
"858",2016-03-22,"bite"
"859",2016-03-22,"bite"
"860",2016-12-28,"love"
"861",2016-12-28,"baby"
"862",2016-12-28,"tall"
"863",2016-12-28,"tall"
"864",2016-12-28,"water"
"865",2016-12-28,"water"
"866",2016-12-28,"water"
"867",2016-12-28,"water"
"868",2016-12-28,"water"
"869",2016-12-28,"water"
"870",2016-12-28,"water"
"871",2016-12-28,"water"
"872",2016-12-28,"water"
"873",2016-12-28,"water"
"874",2016-12-28,"water"
"875",2016-12-28,"water"
"876",2016-12-28,"water"
"877",2016-12-28,"water"
"878",2016-12-28,"water"
"879",2016-12-28,"water"
"880",2015-08-17,"night"
"881",2015-08-17,"night"
"882",2015-08-17,"acid"
"883",2015-08-17,"acid"
"884",2015-08-17,"water"
"885",2015-08-17,"water"
"886",2015-08-17,"water"
"887",2015-08-17,"water"
"888",2015-08-17,"night"
"889",2015-08-17,"night"
"890",2015-08-17,"cotton"
"891",2015-08-17,"cotton"
"892",2015-08-17,"wake"
"893",2015-08-17,"live"
"894",2015-08-17,"live"
"895",2015-08-17,"live"
"896",2015-08-17,"live"
"897",2014-02-01,"oil"
"898",2014-02-01,"oil"
"899",2014-02-01,"oil"
"900",2014-02-01,"oil"
"901",2014-02-01,"oil"
"902",2014-02-01,"oil"
"903",2014-02-01,"oil"
"904",2014-02-01,"oil"
"905",2014-02-01,"oil"
"906",2014-02-01,"oil"
"907",2014-02-01,"oil"
"908",2014-02-01,"oil"
